run,tick,t_s,phase,body_yaw_present_rad,leg1_present_rad,leg2_present_rad,leg3_present_rad,leg4_present_rad,leg5_present_rad,leg6_present_rad,antenna_right_present_rad,antenna_left_present_rad,body_yaw_goal_rad,leg1_goal_rad,leg2_goal_rad,leg3_goal_rad,leg4_goal_rad,leg5_goal_rad,leg6_goal_rad,antenna_right_goal_rad,antenna_left_goal_rad
0,0,0.000000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,1,0.020000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.855516,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,2,0.040000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,3,0.060000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.855516,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,4,0.080000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,5,0.100000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,6,0.120000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,7,0.140000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,8,0.160000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.855516,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,9,0.180000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,10,0.200000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.855516,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,11,0.220000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,12,0.240000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,13,0.260000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.855516,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-7.853982,7.853982
0,14,0.280000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.287161,9.287161
0,15,0.300000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.627398,0.625864,-0.627398,-7.857050,7.860118,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,16,0.320000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-7.872389,7.873923,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,17,0.340000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-7.919943,7.919943,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,18,0.360000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-8.027321,8.034991,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,19,0.380000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-8.219069,8.225205,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,20,0.400000,commanding,-0.001534,0.624330,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-8.489050,8.496720,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,21,0.420000,commanding,-0.001534,0.622796,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-8.829593,8.840331,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,22,0.440000,commanding,-0.001534,0.622796,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-9.160933,9.171671,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,23,0.460000,commanding,-0.001534,0.622796,-0.633534,0.628932,-0.625864,0.625864,-0.627398,-9.456992,9.475399,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
0,24,0.480000,commanding,-0.001534,0.622796,-0.633534,0.628932,-0.624330,0.625864,-0.628932,-9.664079,9.685555,0.000000,0.626547,-0.626543,0.626540,-0.626536,0.626537,-0.626539,-9.603185,9.603185
